Mahabharata [Bhagavad Gita],Unknown Author,No Rating,No Review
Epic of Gilgamesh,Unknown Author,No Rating,No Review
The Old Testament,Unknown Author,No Rating,No Review
Illiad,Homer,2.75 (4),Leyla123, Jabiyev11, Latafat8, Zeynab99
Odyssey,Homer,2.00 (1),Jabiyev11
Histories,Herodotus,2.00 (1),Jabiyev11
[Plays],Sophocles,No Rating,No Review
[Plays],Aeschyles,No Rating,No Review
Hippolytus,Euripides,No Rating,No Review
Bachants,Euripides,No Rating,No Review
Electra,Euripides,No Rating,No Review
The Phornician Women,Euripides,No Rating,No Review
The Peloponesian War,Thucydides,No Rating,No Review
Dialogues,Plato,No Rating,No Review
Poetics,Aristotle,No Rating,No Review
Physics,Aristotle,No Rating,No Review
Ethics,Aristotle,No Rating,No Review
De Anima,Aristotle,No Rating,No Review
Greek Anthology,Unknown Author,No Rating,No Review
On The Nature of Things,Lucretius,No Rating,No Review
Parallel Lives,Plutarch,No Rating,No Review
Aeneid,Virgil,No Rating,No Review
Bucolics,Virgil,No Rating,No Review
Georgics,Virgil,No Rating,No Review
Annals,Tacitus,No Rating,No Review
Metamorphoses,Ovid,No Rating,No Review
Heroides,Ovid,No Rating,No Review
Amores,Ovid,No Rating,No Review
The New Testament,Unknown Author,No Rating,No Review
The Twelve Caesars,Suetonius,No Rating,No Review
Meditations,Marcus Aurelius,No Rating,No Review
[Poems],Catullus,No Rating,No Review
[Poems],Horace,No Rating,No Review
Discourses,Epictetus,No Rating,No Review
[Plays],Aristophanes,No Rating,No Review
Historical Miscellany,Aelianus,No Rating,No Review
On the Nature of Animals,Aelianus,No Rating,No Review
Argonautica,Apollonius Rhodius,No Rating,No Review
Fourteen Byzantine Rulers,Michael Psellus,No Rating,No Review
The Rise and Fall of the Roman Empire,Edward Gibbon,No Rating,No Review
The Enneads,Plotinus,No Rating,No Review
Ecclesiastical History,Eusebius,No Rating,No Review
Consolations of Philosophy,Boethius,No Rating,No Review
Letters,Pliny the Younger,No Rating,No Review
Byzantine verse romances,Unknown Author,No Rating,No Review
Fragments,Heraclitus,No Rating,No Review
Confessions,St. Augustine,No Rating,No Review
Summa Theologica,Thomas Aquinas,No Rating,No Review
The Little Flowers,St. Francis of Assisi,No Rating,No Review
The Prince,Niccol? Machiavelli,No Rating,No Review
Divide Comedy,Dante Aighieri,No Rating,No Review
Novelle,Franco Sacchetti,No Rating,No Review
Icelandic sagas,Unknown Author,No Rating,No Review
Anthony and Cleopatra,William Shakespeare,No Rating,No Review
Hamlet,William Shakespeare,No Rating,No Review
Macbeth,William Shakespeare,No Rating,No Review
Henry V,William Shakespeare,No Rating,No Review
Unknown Title,Fran?ois Rabelais,No Rating,No Review
Unknown Title,Francis Bacon,No Rating,No Review
[Selected Works],Martin Luther,No Rating,No Review
Institutes of the Christian Religion,John Calvin,No Rating,No Review
Essays,Michel de Montaigne,No Rating,No Review
Don Quixote,Miguel de Cervantes,No Rating,No Review
Discourses,Ren? Descartes,No Rating,No Review
Song of Roland,Unknown Author,No Rating,No Review
Beowulf,Unknown Author,No Rating,No Review
Unknown Title,Benvenuto Cellini,No Rating,No Review
Education of Henry Adams,Henry Adams,No Rating,No Review
The Leviathan,Thomas Hobbes,No Rating,No Review
Thoughts,Blaise Pascal,No Rating,No Review
Paradise Lost,John Milton,No Rating,No Review
Unknown Title,John Donne,No Rating,No Review
Unknown Title,Andrew Marvell,No Rating,No Review
Unknown Title,George Herbert,No Rating,No Review
Unknown Title,Richard Crashaw,No Rating,No Review
Treatises,Baruch?Spinoza,No Rating,No Review
Charterhouse of Parma,Stendhal,No Rating,No Review
The Red and the Black,Stendhal,No Rating,No Review
The Life of Henry Brulard,Stendhal,No Rating,No Review
Gulliver?s Travels,Jonathan Swift,No Rating,No Review
Tristram Shandy,Laurence Sterne,No Rating,No Review
Dangerous Liasons,Choderlos de Laclos,No Rating,No Review
Persian Letters,Baron de Montesquieu,No Rating,No Review
Second Treatise on Government,John Locke,1.00 (1),Latafat8
The Wealth of Nations,Adam Smith,No Rating,Zeynab99
Discourse on Metaphysics,Gottfried Leibniz,No Rating,No Review
Everything,David Hume,No Rating,No Review
The Federalist Papers,Unknown Author,No Rating,No Review
Critique of Pure Reason,Immanuel Kant,No Rating,No Review
Fear and Trembling,S?ren?Kierkegaard,No Rating,No Review
Either/Or,S?ren?Kierkegaard,No Rating,No Review
Philosophical Fragments,S?ren?Kierkegaard,No Rating,No Review
Notes From the Underground,Fyodor Dostoevsky,4.00 (1),Zeynab99
The Possessed,Fyodor Dostoevsky,No Rating,No Review
Democracy in America,Alexis de Tocqueville,4.00 (1),Latafat8
Faust,Johann Wolfgang von Goethe,No Rating,No Review
Italian Journey,Johann Wolfgang von Goethe,No Rating,No Review
Empire of the Czar,Astolphe-Louis-L?onor,No Rating,No Review
Mimesis,Eric Auerbach,No Rating,No Review
Conquest of Mexico,William H. Prescott,3.50 (2),Jabiyev11, Latafat8
Labyrinths of Solitude,Octavio Paz:,No Rating,No Review
The Logic of Scientific Discovery,Sir Karl Popper,5.00 (1),Zeynab99
The Open Society and Its Enemies,Sir Karl Popper,No Rating,No Review
Crowds and Power,Elias Canetti,No Rating,No Review

Unknown Title,Unknown Author,No Rating,No Review
